"timesignature","beatdifMedian","beatdifrange","beatdif80perc","beatdifvariance","beatdifstdev","T1Median","T1min","T1max","T180perc","T1mean","T1stdev","T2min","T2max","T280perc","T2mean","T3Median","T3min","T3range","T3mean","T3variance","T3stdev","T4Median","T4range","T480perc","T4kurtosis","T580perc","T5stdev","T6min","T6range","T6variance","T7variance","T7kurtosis","T8Median","T8range","T8stdev","T8kurtosis","T9Median","T9max","T9mean","T9skewness","T9kurtosis","T10variance","T10stdev","T10skewness","T10kurtosis","T11variance","T12Median","T12kurtosis","Topclass1030"
4,-0.49433,-0.296877,-0.521712,-0.278988,-0.417444,-0.007792,1.367003,-0.584438,-0.187887,-0.047282,-0.383137,-0.205955,-0.953658,0.073682,0.175152,1.073417,0.898338,-1.014862,1.032544,-0.694538,-0.694981,0.475645,0.12942,0.018374,0.739823,-1.077686,0.009787,0.593805,0.900498,-0.452173,0.033786,-0.467022,-0.26879,-0.856434,-1.158695,0.087809,0.76894,2.204114,1.005899,1.840916,0.217827,-0.73981,-0.828764,-0.797104,0.005904,-0.398096,-0.937769,-0.653956,1
4,-0.410478,-0.461835,-0.435287,-0.276229,-0.385153,-0.062779,0.663734,0.202521,0.057451,0.095477,-0.582805,0.821101,-0.867043,-0.870694,-0.484534,0.306423,-0.188869,-0.198944,0.321296,-0.028739,0.082057,0.130278,1.409646,0.459264,-0.354755,0.690623,-0.218074,-1.623409,2.414262,0.578398,1.006874,-0.560517,0.223175,1.043857,0.422367,0.236155,0.330891,2.220279,0.385149,0.744254,1.735528,0.175856,0.311353,0.23951,-0.374813,0.595549,-0.405271,0.364167,1
4,-0.428769,-0.458862,-0.443126,-0.273923,-0.361424,0.626213,-0.758121,1.373361,1.031122,0.539424,1.376156,-1.4956,-0.533538,-1.42015,-1.226966,0.753952,1.080349,0.074776,0.669352,-0.80196,-0.836283,-1.093614,-0.611745,-1.292844,-0.177088,1.011832,-0.379836,0.157724,-1.040846,-0.855812,-0.115746,-0.526122,-0.26839,-0.800677,-0.801508,-0.012291,1.081898,0.466354,1.075225,0.350143,-0.231827,-0.753197,-0.848252,-1.601378,0.349477,-0.793482,-0.393839,-1.523531,1
4,-0.921413,-0.693352,-0.941701,-0.284848,-0.520037,0.559908,-0.275168,0.323895,0.576649,0.59068,-0.254346,0.590115,-0.000335,-0.049086,0.37021,-0.111026,0.627047,-0.453263,-0.12185,-0.556469,-0.52096,0.505259,-1.22229,0.212493,-0.513031,-0.607213,-0.737079,0.763996,-0.138606,-0.246142,0.331906,-0.519854,0.560802,-0.659017,0.632849,-0.957519,1.591359,0.667993,1.480629,-0.736709,1.39189,-0.711319,-0.787652,-0.199205,-0.695877,0.331315,0.769835,1.964029,1
4,0.256084,-0.423377,0.211153,-0.269633,-0.322532,0.599577,1.779823,0.779755,0.604623,0.649948,-0.550712,0.221187,0.509263,1.21125,0.617706,-0.243657,-0.376023,0.689256,-0.35088,0.899767,0.980787,0.315949,0.870063,0.692267,-0.285229,-0.244061,1.144092,0.342026,-0.380549,0.211856,0.211524,-1.011378,1.311385,-0.026906,0.343878,-0.733004,0.819203,1.572364,1.882432,1.854136,-1.350243,0.450983,0.602031,1.351681,-0.090007,2.214811,-0.612683,-0.741488,1
4,-0.431095,-0.415608,-0.445501,-0.273469,-0.357016,0.985855,-0.756025,1.410338,1.23936,0.73014,1.678177,-1.459111,-0.417377,-1.070917,-0.929512,0.872099,0.88537,0.274336,0.747286,-0.75071,-0.76818,-1.024385,-0.42868,-1.218404,-0.073819,1.216088,-0.140483,0.176918,-1.148887,-0.877833,-0.060379,-0.226718,-0.2432,-0.82173,-0.888492,0.081415,0.523512,0.642373,0.468765,-0.155708,0.152508,-0.746263,-0.838144,-2.100752,0.532413,-0.762548,-1.062663,-1.606055,1
4,1.546903,-0.4205,1.467491,-0.272035,-0.343593,0.113727,-0.099673,0.563257,0.50953,-0.078346,1.25007,-2.002,-0.660876,-0.682563,-1.830865,-0.310216,-0.89834,-0.56354,-0.535421,-0.736666,-0.749741,-0.729022,-1.157099,-0.867957,-0.403009,0.619433,-0.678222,-0.106806,-0.785882,-0.405678,0.052376,1.556546,0.255642,-0.990824,-0.119409,-0.577516,0.155271,0.347774,0.448265,1.530129,-0.538373,-0.474758,-0.463427,0.726574,-0.681868,-0.420546,-0.710071,0.21701,1
4,-0.497818,0.80307,-0.510992,-0.200414,0.035094,-0.642369,-0.767956,-1.325387,-0.925894,-0.655274,-0.139776,0.325919,0.160154,0.42579,0.222683,0.209903,-0.908538,0.946969,0.387573,1.722288,1.666338,0.156676,0.339676,0.396953,-0.369898,0.812886,-0.016761,0.082172,-0.563478,-0.414431,1.654675,-0.718099,0.001983,-0.073904,0.24558,-0.069116,0.223672,0.714825,0.360966,0.879807,0.152953,-0.510031,-0.509995,0.247076,-0.422325,1.223613,1.517395,-0.663885,1
4,-0.429574,2.654919,-0.455592,-0.198581,0.041883,0.6341,1.154265,0.365953,0.504943,0.561259,-0.095203,-0.703911,0.742754,-0.032587,0.141277,-0.068299,-1.406963,2.064673,-0.394799,0.527283,0.639618,-0.353653,2.163601,0.219363,-0.083323,-0.352287,-0.37527,-2.642598,2.668864,0.728426,-0.171707,0.118306,-0.638244,0.909533,0.05729,0.802801,0.698865,-0.587137,0.469062,-0.813858,0.00074,0.764943,0.913848,2.466,2.202295,1.173605,-1.781772,-0.658366,1
4,-0.332172,-0.435365,-0.360822,-0.25491,-0.217737,0.238105,-0.748286,0.308653,0.251228,0.211095,0.137687,0.734158,0.858603,1.40147,0.975906,-0.117448,-0.999423,0.172661,-0.164348,0.126959,0.244969,0.68418,0.074501,1.05516,-0.449555,1.321823,1.059786,-0.735208,-0.144579,0.422582,0.053591,-0.316857,0.456843,-0.258626,0.912624,-0.754799,-0.262498,0.26331,-0.004528,1.572649,-0.233043,0.458018,0.609237,0.83964,0.168226,0.874296,1.932219,4.36413,1
