"timesignature","beatdifMedian","beatdifrange","beatdif80perc","beatdifvariance","beatdifstdev","T1Median","T1min","T1max","T180perc","T1mean","T1stdev","T2min","T2max","T280perc","T2mean","T3Median","T3min","T3range","T3mean","T3variance","T3stdev","T4Median","T4range","T480perc","T4kurtosis","T580perc","T5stdev","T6min","T6range","T6variance","T7variance","T7kurtosis","T8Median","T8range","T8stdev","T8kurtosis","T9Median","T9max","T9mean","T9skewness","T9kurtosis","T10variance","T10stdev","T10skewness","T10kurtosis","T11variance","T12Median","T12kurtosis","Topclass1030"
4,-0.526439,1.637836,1.202769,4.967376,4.398359,0.208039,-0.76578,0.785118,0.969937,-0.076,2.465853,-0.867009,-0.980834,-0.121539,-0.763103,0.698557,-0.131745,-0.564771,0.668303,-0.441169,-0.381437,-0.829632,1.763864,-0.792984,2.343652,-0.777448,-0.91865,-2.738894,0.528136,-0.574055,0.9448,-0.76385,-0.250238,-0.372118,-1.052771,0.762895,-0.65209,-0.855861,-0.734413,-0.513861,-0.163725,-0.847387,-0.988641,-1.524491,0.542084,-0.359506,-1.287524,0.88875,1
4,0.161366,-0.600228,0.123524,-0.2761,-0.38375,-1.218644,0.868008,-1.919558,-1.519392,-1.318633,-0.045795,0.553942,0.827081,1.166742,1.002673,0.256065,0.46196,0.290279,0.633889,0.971467,1.043996,-0.211484,-0.845548,-0.031871,-0.469128,1.102077,1.313494,-0.05477,1.55712,0.09485,0.468584,0.176929,0.105382,-0.851321,0.135205,-0.426715,0.951923,0.633684,1.043839,0.758927,-0.64762,-0.630384,-0.67343,1.37075,0.507264,0.013515,-1.320016,-1.397376,1
4,-0.590479,0.11034,-0.577076,-0.25711,-0.231519,0.609294,1.147977,0.127438,0.345872,0.765729,-1.579477,0.567603,-0.045437,-1.007183,-0.703362,0.263384,-0.118206,-0.688656,0.20784,-0.583059,-0.553858,-0.698313,2.360457,-0.938052,1.353209,0.845222,0.46849,-3.560596,1.642769,-0.492199,0.723038,0.190607,0.695308,0.681281,0.778978,-0.002709,-0.24938,0.090167,-0.182922,-0.1274,0.044944,0.013399,0.130699,0.990096,0.816591,-0.266453,-0.860323,-0.336253,1
4,-1.090099,-0.121848,-1.106694,-0.278864,-0.41588,0.984026,-0.23728,0.3668,0.78733,1.003822,-0.61572,0.693605,0.689933,-0.074246,0.631523,-0.23581,0.869985,-0.873456,-0.116368,-0.429159,-0.367184,1.062836,-1.074227,0.390409,-0.486461,0.123985,0.072283,0.687682,0.280595,-0.272115,-0.187477,-0.878317,1.820224,-0.416226,-0.083241,-0.511052,-0.147782,0.981121,-0.096167,1.015255,2.280778,0.186979,0.323462,0.228915,-0.2464,-0.226472,0.370999,0.473169,1
4,-0.361912,-0.846802,-0.395916,-0.285312,-0.534299,0.586087,-0.767956,0.270829,0.589913,0.553113,-0.200339,-0.067077,-0.970711,-0.450645,-0.279572,-0.135542,0.040771,-1.304477,-0.388638,-0.908623,-0.982398,-0.741921,0.235731,-0.611673,0.283168,-0.064488,-0.827737,0.077876,-0.827812,-0.61586,-0.74614,-0.709257,-0.966754,-0.596658,-0.684478,-0.093404,-0.137275,-0.348442,-0.005623,0.687428,-0.702322,-0.531838,-0.539077,-0.822964,-0.712423,-0.830603,0.060869,-0.315449,1
4,-0.429127,-0.805946,-0.459381,-0.284412,-0.508575,0.942072,-0.766666,1.126378,0.913489,0.91257,0.320984,0.733424,-0.954168,0.444816,0.66777,1.355835,1.414962,0.073118,1.602729,0.757475,0.853085,1.1221,-0.136082,0.883317,-0.472363,0.732419,0.043054,0.87704,-0.502324,0.02703,0.760584,0.35079,0.649886,-0.301666,-0.525426,-0.223362,-0.808101,-0.632883,-1.023613,-1.522638,0.563846,-0.699559,-0.770824,-0.673558,-0.791643,0.524099,0.31676,0.177232,1
4,-0.790023,-0.437955,-0.806914,-0.269019,-0.317397,0.685543,-0.767956,0.736286,0.78005,0.638445,0.128671,0.502995,-0.451401,0.807319,0.976495,-0.237177,0.455235,-0.442892,-0.242413,-0.760463,-0.78104,-1.165705,0.998099,-1.098282,1.174109,0.042493,-1.132606,0.765383,-1.32438,-0.804031,1.749242,0.487862,0.00838,0.241874,-0.316586,0.639069,-0.382568,0.630362,-0.130676,1.438684,0.012779,-0.712281,-0.789032,-0.24941,1.597046,-0.753971,-1.392391,0.023427,1
4,-0.491736,-0.774585,-0.513576,-0.28225,-0.464934,0.901832,-0.724183,0.660357,0.85759,0.797098,0.304005,-0.786574,-0.471054,0.046144,-0.063564,0.317822,1.234138,-1.22072,0.303881,-1.063656,-1.20675,-1.18348,-1.117888,-1.180895,-0.451628,0.221273,-0.573805,1.080698,1.232442,-0.6472,-0.294302,0.408354,-0.205935,-0.124992,0.160492,-0.303591,-0.099995,-0.351445,-0.148339,0.093963,-0.555365,-0.465369,-0.451127,0.709104,0.312243,-0.598669,-1.40855,-0.263885,1
4,-0.362761,-0.917581,-0.401503,-0.286201,-0.577663,0.738244,-0.767956,0.921453,0.769329,0.722698,-0.52977,1.48104,-0.970711,0.104895,0.272646,-1.963931,-0.888185,0.221707,-2.114479,0.911976,0.991603,2.944456,0.634713,3.3552,-0.533297,-2.043108,-1.035181,0.012274,-0.630519,0.245251,-0.366183,-1.92898,0.745049,-0.679493,-0.282113,-0.281568,-0.314569,-1.392734,-0.375493,0.392352,-1.115706,1.061914,1.192425,1.135148,-1.501012,2.178463,2.133271,-1.196636,1
4,-0.510697,-0.304453,-0.530337,-0.278777,-0.414781,-2.146559,-0.237038,-2.3932,-2.120718,-2.027846,-0.365166,-0.047339,-0.63872,0.305194,0.315031,0.350146,0.633091,-1.032163,0.413551,-0.524251,-0.48147,-0.64018,-0.948498,-0.460857,-0.479042,-0.345133,-0.055781,0.265521,0.514969,-0.609909,-0.476815,0.120948,0.070436,-0.712506,-0.513251,-0.282675,-0.228231,-0.228967,-0.145455,-0.141152,-0.104915,-0.100518,-0.000538,0.196682,-0.01794,0.149125,-1.135726,0.102525,1
